HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458295.57592,2018-06-26.0759631,bi,1.53,16.430,15.916,0.137,1.562,0.195,g
2458295.57714,2018-06-26.0771831,bi,1.44,16.192,15.496,0.115,2.300,0.242,g
2458296.79081,2018-06-27.2909605,ba,1.67,16.227,15.511,0.113,2.395,0.248,V
2458296.79208,2018-06-27.2922340,ba,1.64,16.244,15.612,0.122,2.183,0.244,V
2458296.79335,2018-06-27.2935083,ba,1.66,16.271,15.415,0.100,2.620,0.238,V
2458298.56008,2018-06-29.0603893,bi,1.43,16.083,15.826,0.173,1.697,0.268,g
2458298.56130,2018-06-29.0616162,bi,1.48,16.175,15.714,0.143,1.881,0.246,g
2458298.56252,2018-06-29.0628384,bi,1.46,16.208,15.697,0.137,1.911,0.239,g
2458299.77795,2018-06-30.2783788,ba,2.33,16.665,15.352,0.065,2.773,0.166,V
2458299.77923,2018-06-30.2796637,ba,2.27,16.613,15.405,0.072,2.643,0.174,V
2458299.78051,2018-06-30.2809423,ba,2.28,16.650,15.601,0.083,2.206,0.168,V
2458300.57058,2018-07-01.0710763,bi,1.53,16.094,15.554,0.133,2.180,0.265,g
2458300.57179,2018-07-01.0722949,bi,1.49,16.413,15.761,0.120,1.801,0.198,g
2458300.57301,2018-07-01.0735111,bi,1.49,16.393,15.615,0.107,2.061,0.201,g
2458302.77269,2018-07-03.2733912,ba,1.66,17.021,15.432,0.051,2.577,0.120,V
2458302.77397,2018-07-03.2746612,ba,1.62,17.034,15.472,0.052,2.483,0.118,V
2458302.77963,2018-07-03.2803277,ba,1.68,17.010,15.522,0.055,2.371,0.121,V
2458305.55034,2018-07-06.0512920,be,1.53,16.864,15.535,0.064,2.342,0.138,V
2458305.55162,2018-07-06.0525915,be,1.52,16.799,15.430,0.062,2.581,0.146,V
2458305.55289,2018-07-06.0538442,be,1.47,16.863,15.473,0.061,2.482,0.138,V
2458306.53874,2018-07-07.0397746,bi,1.54,17.278,15.710,0.051,1.889,0.089,g
