HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458734.77658,2019-09-08.2734071,bi,1.38,16.803,>16.803,99.990,-0.189,0.138,g
2458734.77780,2019-09-08.2746310,bi,1.39,16.791,>16.791,99.990,0.148,0.140,g
2458734.77902,2019-09-08.2758510,bi,1.40,16.897,>16.897,99.990,-0.059,0.127,g
2458734.85234,2019-09-08.3491746,bj,1.59,17.258,>17.258,99.990,0.150,0.091,g
2458734.85356,2019-09-08.3503961,bj,1.63,17.397,>17.397,99.990,-0.080,0.080,g
2458734.85478,2019-09-08.3516200,bj,1.58,17.341,>17.341,99.990,-0.067,0.084,g
2458735.42151,2019-09-08.9183715,bm,1.78,15.808,>15.808,99.990,0.071,0.345,g
2458735.42272,2019-09-08.9195755,bm,2.03,15.899,>15.899,99.990,-0.193,0.317,g
2458735.42393,2019-09-08.9207892,bm,2.05,15.913,>15.913,99.990,0.427,0.313,g
2458735.45911,2019-09-08.9559685,bn,1.51,16.054,>16.054,99.990,-0.185,0.275,g
2458735.46034,2019-09-08.9572023,bn,1.55,16.224,>16.224,99.990,0.241,0.235,g
2458735.46157,2019-09-08.9584252,bn,1.49,16.007,>16.007,99.990,-0.657,0.287,g
2458736.40534,2019-09-09.9022446,bm,1.50,15.673,>15.673,99.990,0.079,0.391,g
2458736.40655,2019-09-09.9034505,bm,1.59,15.801,>15.801,99.990,-0.708,0.347,g
2458736.40776,2019-09-09.9046663,bm,1.56,15.700,>15.700,99.990,0.202,0.381,g
2458736.43103,2019-09-09.9279331,bn,1.66,15.919,>15.919,99.990,-0.428,0.312,g
2458736.43223,2019-09-09.9291362,bn,1.58,15.867,>15.867,99.990,0.227,0.327,g
2458736.43344,2019-09-09.9303453,bn,1.60,15.861,>15.861,99.990,-0.599,0.329,g
