# UVOT photometry at full time resolution, using 5.0" aperture
# host-subtracted AB magnitudes, not corrected for Galactic extinction
# total counts/s as based on "CORR_RATE" from uvotsource and thus include the host contribution
# only including observations with SNR>0.5 and positive host-subtracted flux
# 
filter  MJD          ab_mag ab_mag_err count_rate count_rate_err exposure
UVW1   57557.363204    20.01     0.10    0.393    0.031    751.573 
UVW1   57560.216607    20.00     0.10    0.397    0.033    652.583 
UVW1   57563.205662    20.00     0.16    0.399    0.053    255.919 
UVW1   57569.433001    19.91     0.13    0.430    0.050    309.155 
UVW1   57578.202032    20.15     0.10    0.348    0.028    833.530 
UVW1   57585.045619    20.36     0.12    0.291    0.030    642.934 
UVW1   57591.850623    20.49     0.13    0.261    0.027    707.719 
UVW1   57600.433195    20.46     0.24    0.267    0.055    170.050 
UVW1   57601.429472    20.57     0.25    0.243    0.052    179.889 
UVW1   57601.598868    20.45     0.12    0.270    0.026    831.760 
UVW1   57608.084405    20.29     0.19    0.309    0.050    264.317 
UVW1   57609.438293    20.29     0.17    0.309    0.045    293.820 
UVW1   57611.562883    20.76     0.18    0.206    0.031    480.843 
UVW1   57615.545009    20.56     0.11    0.245    0.023   1002.103 
UVW1   57622.454582    20.68     0.13    0.221    0.023    916.101 
UVW1   57626.712197    20.43     0.18    0.273    0.041    303.691 
UVW1   57630.429358    20.61     0.20    0.235    0.039    336.257 
